   3.15315318       20.0635052       6.88694525       4.94950151       3.51362228       2.79534316       1.53353631    
   3.20320320       19.9375401       6.98904419       5.02543402       3.56840611       2.83907771       1.55755103    
   3.25325322       20.0614834       7.09081697       5.10124636       3.62314391       2.88278198       1.58155024    
   3.30330324       19.9395008       7.19225693       5.17693329       3.67783403       2.92645574       1.60553384    
   3.35335326       20.0595665       7.29336405       5.25249720       3.73247671       2.97009921       1.62950158    
   3.40340328       19.9413052       7.39413071       5.32793283       3.78707170       3.01371098       1.65345323    
   3.45345354       20.0578022       7.49455643       5.40324163       3.84161758       3.05729127       1.67738855    
   3.50350356       19.9430218       7.59463501       5.47841883       3.89611340       3.10083914       1.70130730    
   3.55355358       20.0561256       7.69436264       5.55346584       3.95055914       3.14435458       1.72520924    
   3.60360360       19.9446945       7.79373646       5.62837839       4.00495338       3.18783641       1.74909389    
   3.65365362       20.0545177       7.89275217       5.70315599       4.05929613       3.23128510       1.77296138    
   3.70370364       19.9462471       7.99140644       5.77779722       4.11358595       3.27469969       1.79681122    
   3.75375366       20.0530281       8.08969593       5.85230017       4.16782379       3.31807995       1.82064354    
   3.80380392       19.9476967       8.18761730       5.92666292       4.22200680       3.36142492       1.84445763    
   3.85385394       20.0515957       8.28516579       6.00088501       4.27613592       3.40473509       1.86825359    
   3.90390396       19.9490986       8.38233948       6.07496309       4.33020973       3.44800901       1.89203095    
   3.95395398       20.0502243       8.47913456       6.14889669       4.38422775       3.49124670       1.91578948    
   4.00400400       19.9503956       8.57554531       6.22268438       4.43818951       3.53444743       1.93952918    
   4.05405426       20.0489311       8.67157173       6.29632378       4.49209404       3.57761121       1.96324980    
   4.10410404       19.9516602       8.76720905       6.36981392       4.54594088       3.62073731       1.98695076    
   4.15415430       20.0477104       8.86245441       6.44315386       4.59972954       3.66382551       2.01063251    
   4.20420408       19.9528828       8.95730495       6.51634026       4.65345764       3.70687461       2.03429365    
   4.25425434       20.0465221       9.05175591       6.58937407       4.70712709       3.74988580       2.05793548    
   4.30430412       19.9540424       9.14580631       6.66225147       4.76073551       3.79285622       2.08155608    
   4.35435438       20.0454292       9.23945236       6.73497295       4.81428432       3.83578777       2.10515690    
   4.40440464       19.9551258       9.33269119       6.80753613       4.86777067       3.87867904       2.12873650    
   4.45445442       20.0443249       9.42551899       6.87993860       4.92119408       3.92152905       2.15229487    
