   29.4949493       40.5050507       39.6765251       37.8708153       36.1296120       34.5626183    
   29.8989887       40.1010132       39.3800468       37.6784439       36.0021477       34.4840469    
   30.3030300       39.6969681       39.0721664       37.4745827       35.8649750       34.3955460    
   30.7070694       39.2929306       38.7543564       37.2597313       35.7171097       34.2988815    
   31.1111107       38.8888893       38.4284515       37.0358162       35.5602798       34.1935997    
   31.5151501       38.4848480       38.0938530       36.8015976       35.3934402       34.0808487    
   31.9191914       38.0808105       37.7524223       36.5581284       35.2180710       33.9591446    
   32.3232307       37.6767693       37.4047813       36.3072205       35.0345688       33.8292809    
   32.7272720       37.2727280       37.0500183       36.0476265       34.8428955       33.6921768    
   33.1313133       36.8686867       36.6888466       35.7805824       34.6434746       33.5476532    
   33.5353546       36.4646454       36.3217812       35.5073586       34.4369545       33.3967018    
   33.9393921       36.0606079       35.9509087       35.2288132       34.2240334       33.2396240    
   34.3434334       35.6565666       35.5766335       34.9443092       34.0025215       33.0743103    
   34.7474747       35.2525253       35.1966972       34.6531296       33.7756042       32.9036827    
   35.1515160       34.8484840       34.8164749       34.3567924       33.5414886       32.7281837    
   35.5555534       34.4444466       34.4346085       34.0530853       33.3013077       32.5449944    
   35.9595947       34.0404053       34.0466766       33.7439156       33.0544930       32.3572235    
   36.3636360       33.6363640       33.6571083       33.4286041       32.8013992       32.1631737    
   36.7676773       33.2323227       33.2706566       33.1055412       32.5419922       31.9630146    
   37.1717148       32.8282852       32.8904419       32.7773933       32.2774429       31.7583160    
   37.5757561       32.4242439       32.5164566       32.4430962       32.0061760       31.5496693    
   37.9797974       32.0202026       32.1487045       32.1050835       31.7304916       31.3374462    
   38.3838387       31.6161613       31.7864056       31.7605858       31.4503670       31.1217575    
   38.7878799       31.2121201       31.4248848       31.4126778       31.1661987       30.9029465    
   39.1919174       30.8080826       31.0649223       31.0614738       30.8787651       30.6816673    
   39.5959587       30.4040413       30.7080784       30.7080784       30.5881290       30.4572735    
   40.0000000       30.0000000       30.3715019       30.3715019       30.3138809       30.2484722    
